highway,length_m,share
track,508601.2780049416,0.7588814048286615
residential,53818.50257769047,0.08030231658508705
path,50924.09167259515,0.07598358065420957
service,27666.131214569104,0.04128049501692816
tertiary,25955.35459041124,0.03872785383407148
unclassified,3233.2721457500447,0.004824349081042487
