metric,value
administrative_area_km2,96.93587600752663
rural_segments_count,3110.0
rural_length_km,670.1986302059577
rural_density_km_per_km2,6.913834772111821
median_segment_length_m,107.80673284150927
p90_segment_length_m,529.6418000912962
unknown_or_other_surface_share,0.24244372990353696
